property_id,source,title,district,location_text,property_type,bedrooms,bathrooms,price,image_count,issues,listing_url
moso-fitted-duplex-sea-point-18,mosoholdings,Fitted Duplex,Sea Point,Sea Point,Townhouse,2,1,2600,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid023sCnoZ4s6MvHEQktMmobftxf8hcrRNMHM5eatgJJ2sm7X66SSGhGKMFPKKT9Lbw7l
moso-duplex-katlehong-21,mosoholdings,Duplex,Katlehong,Katlehong,Townhouse,2,1,7200,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid025A6rXJ7ReyY5WiA9drjyz7dbRhjsJ8NYHZAjxcZ5xgR8Nkzx1FejgwzkrnZtDoMil
moso-duplex-thetsane-lecoop-22,mosoholdings,Duplex,Thetsane Lecoop,Thetsane Lecoop,Townhouse,2,1,3900,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02R1irCRnsKCiCoTSvLKNkHnANWcqRTP9Q1mhWXTC4fciemQf6VL9Tis1gqgParnTkl
moso-duplex-ha-tsolo-halekhowa-23,mosoholdings,Duplex,Halekhowa,"Ha Tsolo, Halekhowa",Townhouse,2,1,6000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0LPydtpSvq2bLa9ugNDUwQkZFMqtzs6U22tKm1ufZ8H2YPVtTiYoaorwcn8c7uTvKl
moso-duplex-sea-point-24,mosoholdings,Duplex,Sea Point,Sea Point,Townhouse,2,1,2500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0yYyyuxGMuB3KfMJgJnb35ivm4tFARikr53Gm7L5mxtrR7iFZ7mCtdBiRpEaYmD5Ql
moso-stand-alone-house-high-court-25,mosoholdings,Stand Alone House,High Court,High Court,House,2,2,10000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0TTBqGDSTRv55X4KW6kWxmLDQgja5kWFPrQ37WVWwSqMGE8x8GiU6vv2ybz99zJPxl
moso-compounded-house-section-8-villamore-house-4-and-14-27,mosoholdings,Compounded House,Section 8 Villamore House #4 And #14,Section 8 Villamore House #4 and #14,House,2,1,750000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02aUydBkikXqB4CeKoNAmuG4AK8tFWarVauEGybEmtBTV6JRjxuQPjqUkB4DALgbjrl
moso-stand-alone-house-fairview-lower-thetsane-29,mosoholdings,Stand Alone House,Lower Thetsane,"Fairview, Lower Thetsane",House,2,1,9000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02DqNwMJJC2iMtrGSg1PaoojrPPxT6t29ej8DosowzN9qfB2qEc9va8BM3dNNT2cVNl
moso-stand-alone-house-thetsane-west-30,mosoholdings,Stand Alone House,Thetsane West,Thetsane West,House,4,3,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02aUydBkikXqB4CeKoNAmuG4AK8tFWarVauEGybEmtBTV6JRjxuQPjqUkB4DALgbjrl
moso-double-storey-stand-alone-house-katlehong-31,mosoholdings,Double Storey Stand Alone House,Katlehong,Katlehong,House,3,2,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0CuyXkwrMp2gKJ47eH6VwgzLowy8zx6XrojhH3ufnWtJiXEoNweV3Pi2QWKpYjcaXl
moso-stand-alone-house-thetsane-west-32,mosoholdings,Stand Alone House,Thetsane West,Thetsane West,House,2,1,13000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0ipfmfMhdsX47pRuVX2skGMJzKqn8a5pzEf8rs9ibpjPZzNJe3HbZ7Xied2Tyq1P6l
